8.070,14.488,0.000
8.684,12.804,0.000
7.083,11.816,0.000
8.330,12.583,0.000
12.606,10.710,0.000
13.643,11.172,0.000
10.668,12.355,0.000
11.084,10.714,0.000
13.265,10.512,0.000
10.988,12.016,0.000
9.182,13.211,0.000
12.392,11.305,0.000
7.103,13.927,0.000
9.023,11.721,0.000
9.819,10.915,0.000
6.668,15.241,0.000
9.883,11.078,0.000
7.270,15.302,0.000
7.263,13.907,0.000
7.381,16.019,0.000
9.462,11.676,0.000
8.981,13.778,0.000
7.198,15.465,0.000
9.618,10.838,0.000
7.346,15.234,0.000
12.359,12.554,0.000
6.784,17.123,0.000
10.979,11.477,0.000
9.746,12.792,0.000
8.997,12.281,0.000
10.143,12.637,0.000
6.142,16.724,0.000
8.107,12.911,0.000
11.737,11.707,0.000
11.838,10.505,0.000
9.404,13.434,0.000
9.449,15.062,0.000
6.671,14.736,0.000
10.686,12.353,0.000
10.700,11.661,0.000
6.646,14.792,0.000
10.015,10.375,0.000
9.821,11.015,0.000
9.026,14.545,0.000
11.520,11.445,0.000
10.190,12.898,0.000
7.591,12.836,0.000
7.586,14.218,0.000
8.453,11.457,0.000
9.589,11.327,0.000
10.243,10.413,0.000
10.282,13.456,0.000
10.862,10.943,0.000
6.585,15.410,0.000
11.309,11.320,0.000
9.846,13.810,0.000
10.613,12.078,0.000
13.105,10.126,0.000
11.521,11.238,0.000
8.744,14.128,0.000
10.969,11.171,0.000
7.809,13.107,0.000
12.730,8.484,0.000
8.702,11.716,0.000
8.029,12.575,0.000
11.500,10.599,0.000
10.450,11.076,0.000
9.670,12.945,0.000
9.748,11.384,0.000
9.778,13.567,0.000
11.430,10.897,0.000
10.425,11.866,0.000
9.065,13.103,0.000
7.354,14.795,0.000
11.063,13.818,0.000
9.505,12.974,0.000
9.812,11.365,0.000
10.895,12.630,0.000
6.240,17.411,0.000
8.961,13.002,0.000
9.710,11.643,0.000
9.382,11.455,0.000
12.556,8.589,0.000
